2017-03-14 11:22:43 install e2fsprogs:amd64 <none> 1.42.12-2+b1
2017-03-14 11:22:43 status half-installed e2fsprogs:amd64 1.42.12-2+b1
2017-03-14 11:22:43 status unpacked e2fsprogs:amd64 1.42.12-2+b1
2017-03-14 11:22:43 status unpacked e2fsprogs:amd64 1.42.12-2+b1
2017-03-14 11:22:43 install findutils:amd64 <none> 4.4.2-9+b1
2017-03-14 11:22:43 status half-installed findutils:amd64 4.4.2-9+b1
2017-03-14 11:22:43 status unpacked findutils:amd64 4.4.2-9+b1
2017-03-14 11:22:43 status unpacked findutils:amd64 4.4.2-9+b1
2017-03-14 11:22:43 install gcc-4.8-base:amd64 <none> 4.8.4-1
2017-03-14 11:22:43 status half-installed gcc-4.8-base:amd64 4.8.4-1
2017-03-14 11:22:43 status unpacked gcc-4.8-base:amd64 4.8.4-1
2017-03-14 11:22:43 status unpacked gcc-4.8-base:amd64 4.8.4-1
2017-03-14 11:22:43 install grep:amd64 <none> 2.20-4.1
2017-03-14 11:22:43 status half-installed grep:amd64 2.20-4.1
2017-03-14 11:22:43 status unpacked grep:amd64 2.20-4.1
2017-03-14 11:22:43 status unpacked grep:amd64 2.20-4.1
2017-03-14 11:22:44 install gzip:amd64 <none> 1.6-4
2017-03-14 11:22:44 status half-installed gzip:amd64 1.6-4
2017-03-14 11:22:44 status unpacked gzip:amd64 1.6-4
2017-03-14 11:22:44 status unpacked gzip:amd64 1.6-4
2017-03-14 11:22:44 install hostname:amd64 <none> 3.15
2017-03-14 11:22:44 status half-installed hostname:amd64 3.15
2017-03-14 11:22:44 status unpacked hostname:amd64 3.15
2017-03-14 11:22:44 status unpacked hostname:amd64 3.15
2017-03-14 11:22:44 install libcap2:amd64 <none> 1:2.24-8
2017-03-14 11:22:44 status half-installed libcap2:amd64 1:2.24-8
2017-03-14 11:22:44 status unpacked libcap2:amd64 1:2.24-8
2017-03-14 11:22:44 status unpacked libcap2:amd64 1:2.24-8
2017-03-14 11:22:44 install libcryptsetup4:amd64 <none> 2:1.6.6-5
2017-03-14 11:22:44 status half-installed libcryptsetup4:amd64 2:1.6.6-5
2017-03-14 11:22:44 status unpacked libcryptsetup4:amd64 2:1.6.6-5
2017-03-14 11:22:44 status unpacked libcryptsetup4:amd64 2:1.6.6-5
2017-03-14 11:22:44 install libkmod2:amd64 <none> 18-3
2017-03-14 11:22:44 status half-installed libkmod2:amd64 18-3
2017-03-14 11:22:44 status unpacked libkmod2:amd64 18-3
2017-03-14 11:22:44 status unpacked libkmod2:amd64 18-3
2017-03-14 11:22:44 install libncursesw5:amd64 <none> 5.9+20140913-1+b1
2017-03-14 11:22:44 status half-installed libncursesw5:amd64 5.9+20140913-1+b1
2017-03-14 11:22:44 status unpacked libncursesw5:amd64 5.9+20140913-1+b1
2017-03-14 11:22:44 status unpacked libncursesw5:amd64 5.9+20140913-1+b1
2017-03-14 11:22:44 install libcap2-bin:amd64 <none> 1:2.24-8
2017-03-14 11:22:44 status half-installed libcap2-bin:amd64 1:2.24-8
2017-03-14 11:22:44 status unpacked libcap2-bin:amd64 1:2.24-8
2017-03-14 11:22:44 status unpacked libcap2-bin:amd64 1:2.24-8
2017-03-14 11:22:44 install init:amd64 <none> 1.22
2017-03-14 11:22:44 status half-installed init:amd64 1.22
2017-03-14 11:22:44 status unpacked init:amd64 1.22
2017-03-14 11:22:44 status unpacked init:amd64 1.22
2017-03-14 11:22:44 install libpam-runtime:all <none> 1.1.8-3.1+deb8u2
2017-03-14 11:22:44 status half-installed libpam-runtime:all 1.1.8-3.1+deb8u2
2017-03-14 11:22:44 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u2
2017-03-14 11:22:44 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u2
2017-03-14 11:22:44 install libc-bin:amd64 <none> 2.19-18+deb8u7
2017-03-14 11:22:44 status half-installed libc-bin:amd64 2.19-18+deb8u7
2017-03-14 11:22:44 status unpacked libc-bin:amd64 2.19-18+deb8u7
2017-03-14 11:22:44 status unpacked libc-bin:amd64 2.19-18+deb8u7
2017-03-14 11:22:44 install multiarch-support:amd64 <none> 2.19-18+deb8u7
2017-03-14 11:22:44 status half-installed multiarch-support:amd64 2.19-18+deb8u7
2017-03-14 11:22:44 status unpacked multiarch-support:amd64 2.19-18+deb8u7
2017-03-14 11:22:44 status unpacked multiarch-support:amd64 2.19-18+deb8u7
2017-03-14 11:22:44 upgrade mawk:amd64 1.3.3-17 1.3.3-17
2017-03-14 11:22:44 status half-configured mawk:amd64 1.3.3-17
2017-03-14 11:22:44 status unpacked mawk:amd64 1.3.3-17
2017-03-14 11:22:44 status half-installed mawk:amd64 1.3.3-17
2017-03-14 11:22:44 status half-installed mawk:amd64 1.3.3-17
2017-03-14 11:22:44 status unpacked mawk:amd64 1.3.3-17
2017-03-14 11:22:44 status unpacked mawk:amd64 1.3.3-17
2017-03-14 11:22:44 install libselinux1:amd64 <none> 2.3-2
2017-03-14 11:22:44 status half-installed libselinux1:amd64 2.3-2
2017-03-14 11:22:44 status unpacked libselinux1:amd64 2.3-2
2017-03-14 11:22:44 status unpacked libselinux1:amd64 2.3-2
2017-03-14 11:22:44 install zlib1g:amd64 <none> 1:1.2.8.dfsg-2+b1
2017-03-14 11:22:44 status half-installed zlib1g:amd64 1:1.2.8.dfsg-2+b1
2017-03-14 11:22:44 status unpacked zlib1g:amd64 1:1.2.8.dfsg-2+b1
2017-03-14 11:22:44 status unpacked zlib1g:amd64 1:1.2.8.dfsg-2+b1
2017-03-14 11:22:44 install tar:amd64 <none> 1.27.1-2+deb8u1
2017-03-14 11:22:44 status half-installed tar:amd64 1.27.1-2+deb8u1
2017-03-14 11:22:44 status unpacked tar:amd64 1.27.1-2+deb8u1
2017-03-14 11:22:44 status unpacked tar:amd64 1.27.1-2+deb8u1
2017-03-14 11:22:44 upgrade perl-base:amd64 5.20.2-3+deb8u6 5.20.2-3+deb8u6
2017-03-14 11:22:44 status half-configured perl-base:amd64 5.20.2-3+deb8u6
2017-03-14 11:22:44 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-03-14 11:22:44 status half-installed perl-base:amd64 5.20.2-3+deb8u6
2017-03-14 11:22:45 status half-installed perl-base:amd64 5.20.2-3+deb8u6
2017-03-14 11:22:45 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-03-14 11:22:45 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-03-14 11:22:45 install libsemanage-common:all <none> 2.3-1
2017-03-14 11:22:45 status half-installed libsemanage-common:all 2.3-1
2017-03-14 11:22:45 status unpacked libsemanage-common:all 2.3-1
2017-03-14 11:22:45 status unpacked libsemanage-common:all 2.3-1
2017-03-14 11:22:45 install libsepol1:amd64 <none> 2.3-2
2017-03-14 11:22:45 status half-installed libsepol1:amd64 2.3-2
2017-03-14 11:22:45 status unpacked libsepol1:amd64 2.3-2
2017-03-14 11:22:45 status unpacked libsepol1:amd64 2.3-2
2017-03-14 11:22:45 install libustr-1.0-1:amd64 <none> 1.0.4-3+b2
2017-03-14 11:22:45 status half-installed libustr-1.0-1:amd64 1.0.4-3+b2
2017-03-14 11:22:45 status unpacked libustr-1.0-1:amd64 1.0.4-3+b2
2017-03-14 11:22:45 status unpacked libustr-1.0-1:amd64 1.0.4-3+b2
2017-03-14 11:22:46 install libsemanage1:amd64 <none> 2.3-1+b1
2017-03-14 11:22:46 status half-installed libsemanage1:amd64 2.3-1+b1
2017-03-14 11:22:46 status unpacked libsemanage1:amd64 2.3-1+b1
2017-03-14 11:22:46 status unpacked libsemanage1:amd64 2.3-1+b1
2017-03-14 11:22:46 install sensible-utils:all <none> 0.0.9
2017-03-14 11:22:46 status half-installed sensible-utils:all 0.0.9
2017-03-14 11:22:46 status unpacked sensible-utils:all 0.0.9
2017-03-14 11:22:46 status unpacked sensible-utils:all 0.0.9
2017-03-14 11:22:46 install passwd:amd64 <none> 1:4.2-3+deb8u1
2017-03-14 11:22:46 status half-installed passwd:amd64 1:4.2-3+deb8u1
2017-03-14 11:22:47 status unpacked passwd:amd64 1:4.2-3+deb8u1
2017-03-14 11:22:47 status unpacked passwd:amd64 1:4.2-3+deb8u1
2017-03-14 11:22:47 install libtinfo5:amd64 <none> 5.9+20140913-1+b1
2017-03-14 11:22:47 status half-installed libtinfo5:amd64 5.9+20140913-1+b1
2017-03-14 11:22:47 status unpacked libtinfo5:amd64 5.9+20140913-1+b1
2017-03-14 11:22:47 status unpacked libtinfo5:amd64 5.9+20140913-1+b1
2017-03-14 11:22:47 install libtext-iconv-perl:amd64 <none> 1.7-5+b2
2017-03-14 11:22:47 status half-installed libtext-iconv-perl:amd64 1.7-5+b2
2017-03-14 11:22:47 status unpacked libtext-iconv-perl:amd64 1.7-5+b2
2017-03-14 11:22:47 status unpacked libtext-iconv-perl:amd64 1.7-5+b2
2017-03-14 11:22:47 install libtext-charwidth-perl:amd64 <none> 0.04-7+b3
2017-03-14 11:22:47 status half-installed libtext-charwidth-perl:amd64 0.04-7+b3
2017-03-14 11:22:48 status unpacked libtext-charwidth-perl:amd64 0.04-7+b3
2017-03-14 11:22:48 status unpacked libtext-charwidth-perl:amd64 0.04-7+b3
2017-03-14 11:22:48 install libtext-wrapi18n-perl:all <none> 0.06-7
2017-03-14 11:22:48 status half-installed libtext-wrapi18n-perl:all 0.06-7
